doc_id,district_name,state,school_year,bargaining_unit,hold_reason,detail,source_url
377,Macomb CUSD 185,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/4 kw=5 -> not-CBA,https://www.macomb185.org/DocumentCenter/View/221
415,McHenry CCSD 15,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.d15.org/fs/resource-manager/view/cbad4841-4a87-4bac-a687-808cc6968ea3
417,Millburn CCSD 24,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.millburn24.net/fs/resource-manager/view/4f54e1a6-3925-4b35-8a85-26209bf02e6b
418,Miller Twp CCSD 210,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=1/0 kw=2 -> not-CBA,https://www.miltonpope.net/uploads/b/9114ade0-f6df-11eb-be43-cbc36a29f31a/BoardPolicyBookCover.pdf
419,Moline-Coal Valley CUSD 40,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/3 kw=3 -> not-CBA,https://www.molineschools.org/fs/resource-manager/view/1f7ead43-16eb-4ab6-9a73-384b71eed99d
423,Morton CUSD 709,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.morton709.org/file/4098
426,Mundelein Cons HSD 120,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.d120.org/assets/1/6/What-is-Paraprofessional.pdf
428,Murphysboro CUSD 186,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=1 policy=0/3 kw=4 -> not-CBA,https://www.hurst-rosche.com/uploads/2/9/3/9/29393433/general_john_a_logan_2020_maintenance_grant_-_project_manual.pdf
431,Nashville CCSD 49,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,http://www.nashville49.org/nurse/Respiratory%20Infections.pdf
433,New Trier Twp HSD 203,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.newtrier.k12.il.us/fs/resource-manager/view/cd735185-3146-48e3-b058-9e9147c9c555
435,Niles Twp HSD 219,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.niles219.org/fs/resource-manager/view/5011c517-462c-40ba-97f2-bb62cea91b52
439,North Boone CUSD 200,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/1 kw=2 -> not-CBA,https://www.nbcusd.org/wp-content/uploads/4.110E2-Transportation-Request-Form.pdf
441,Eastern IL EFE System,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=0 policy=0/0 kw=6 -> not-CBA,https://resources.finalsite.net/images/v1733505564/nssd112org/tcbfbemox48cukfu4sc4/34-049-1120-02NorthShoreSD112ASA7.pdf
442,Oak Grove SD 68 Green Oaks,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.ogschool.org/staff/nurse/files/documents/Child%20Health%20Exam.pdf
443,Oak Grove SD 68 Green Oaks,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.ogschool.org/employment/files/documents/Sub-Para-Checklist.pdf
446,Ohio CHSD 505,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,http://ohiocommunityschooldistricts.com/wp-content/uploads/FY23-summermeals-flyer.pdf
447,Ohio CHSD 505,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,http://ohiocommunityschooldistricts.com/wp-content/uploads/Bus-Drivers_Co-Curricular-Driver-Ad-4.23.26.pdf
463,Plano CUSD 88,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=0 policy=1/1 kw=2 -> not-CBA,https://core-docs.s3.amazonaws.com/documents/asset/uploaded_file/1230656/Section_8_-_April_2021.pdf
465,Pleasant Valley SD 62,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=5 -> not-CBA,https://www.pv62.com/uploads/3/8/5/3/38533755/paraprofessional_-_behavior_classroom_job_description__primary_-_full_time__-_google_docs.pdf
466,Pleasant Valley SD 62,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=3 -> not-CBA,https://www.pv62.com/uploads/3/8/5/3/38533755/job_application_-_non_certified.pdf
468,Prairie Grove CSD 46,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/12 kw=6 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/504/Prairie_Grove_Csd_46/d6938833-7d15-4572-b914-f7c8252fd0f8/Policy-5120.pdf?disposition=inline
476,Ramsey CUSD 204,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=1 policy=0/2 kw=3 -> not-CBA,https://www.hurst-rosche.com/uploads/2/9/3/9/29393433/final_combined_specs_8-2-24.pdf
485,Ridgewood CHSD 234,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.d234.org/assets/1/6/Ridgewood_Cafeteria_Price_List_2025.2026_School_Year.pdf
488,Robinson CUSD 2,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.robinsonschools.com/unit2/images/files/transportation-documents//[x] School Bus Policy (2025-2026).pdf
491,Rockton SD 140,IL,,paraprofessionals,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.rockton140.org/district/Job/26_27/RGS_1_1_Para.pdf
496,Sandoval CUSD 501,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/12 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2033/Sandoval_CUSD/4280342/Policy-5120.pdf
505,Skokie SD 69,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=1 policy=0/4 kw=4 -> not-CBA,https://resources.finalsite.net/images/v1705598258/skokie69k12ilus/uqqjbvheltc91ogwv0xc/D69FSMC-RFP-fixed-price-Contract01042024.pdf
506,Skokie SD 73-5,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.sd735.org/boe/files/documents/Policy%20Manual/4110.pdf
519,Taylorville CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/38 kw=0 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2993/Tcusd/52ae75fa-4439-43e3-b0bf-7ff1a95c9bd2/taylorville_3_exported_on_05_28_2026-%284%29%281%29.pdf?disposition=inline
523,Thornton Twp HSD 205,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=1 policy=0/0 kw=2 -> not-CBA,https://www.district205.net/fs/resource-manager/view/53e801ee-b59a-40bf-a9f5-85b7f22114c6
537,Venice CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=5 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2559/VCUSD/5540667/Job_Posting_Music-Band.pdf
540,Waltonville CUSD 1,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/23 kw=3 -> not-CBA,https://www.cusd1.org/files/user/300/2-260-Uniform-Grievance-091924.pdf
545,Whiteside Area Career,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=1/0 kw=2 -> not-CBA,https://www.riverbendschools.org/vimages/shared/vnews/stories/65fd8e347b40e/River%20Bend%20West%20Carroll%20Reorg%20Study%20upated%20March%2011%20%281%29.pdf
547,West Lincoln-Broadwell ESD 92,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=0 -> not-CBA,https://www.wlb92.org/UserFiles/Servers/Server_24501338/File/Permission for Student Transportation by Parent.pdf
555,Winnebago CUSD 323,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.winnebagoschools.org/fs/resource-manager/view/bc9abd68-509b-488e-94e6-816b439b3a85
562,Zion-Benton Twp HSD 126,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=2 -> not-CBA,https://www.zb126.org/fs/resource-manager/view/ef5495ee-a91d-45e9-b749-3f6fd6c34a4e
566,Berkeley SD 87,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/22 kw=3 -> not-CBA,https://www.berkeley87.org/UserFiles/Servers/Server_389410/File/Parents/Title%20IX/2_260%20Uniform%20Grievance%20Procedure.pdf
575,East Coloma - Nelson CESD 20,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/0 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3442/ECNCESD/4938420/ECN_Middle_School_Science__Grades_6-8_.pdf
599,Venice CUSD 3,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=5 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2559/Vcusd/f5f635fa-1b74-445c-92b0-26da25909633/Teacher-Job-Posting-8th-Grade.pdf?disposition=inline
600,Paris-Union SD 95,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://www.paris95.k12.il.us/UserFiles/Servers/Server_8563937/File/Transportation/Driving%20Success%20Paris%20Union%20School%20District%2095%20December%202025.pdf
603,Proviso Twp HSD 209,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://www.pths209.org/fs/resource-manager/view/925cb944-6f7a-4e63-81e6-1a77924324fc
609,Streator ESD 44,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=6 -> not-CBA,https://www.ses44.net/UserFiles/Servers/Server_26740696/File/Appendix B Support Staff Wages.pdf
614,Willow Springs SD 108,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=2 -> not-CBA,https://asbointl.org/common/Uploaded%20files/Awards/MBA/2022-2023%20MBA%20Resources/Deerfield%20FY%2023%20FINAL%20BUDGET.pdf
615,ACE Amandla Charter School,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://chicagoworkforcefunders.org/wp-content/uploads/2025/08/Construction-Report-Jan-2021.pdf
628,Capital Area Career Center,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=0 policy=0/0 kw=3 -> not-CBA,https://worknet20.org/wp-content/uploads/2020/11/Local-Plan-2020.pdf
630,Centralia HSD 200,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/20 kw=3 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2100/Chs/46fa7af6-9cec-4e3f-b55b-2d23c3bde8e5/Board_Policy-2.260_Uniform_Grievance_Procedure.pdf?disposition=inline
657,Lewistown CUSD 97,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=0/0 kw=3 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3407/LCUSD/5707572/District_Sub_Caller.pdf
666,Mid-Valley Special Ed Coop,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=2/0 kw=6 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/2649/Bsd/6f14021c-eb4b-4863-942e-a021a873c1d3/Benjamin-25-ASA-2025.pdf?disposition=inline
667,Nettle Creek CCSD 24C,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=0 policy=2/4 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/2306/ncccsd/3549885/Policy_5-200.pdf
672,Peotone CUSD 207U,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/0 kw=7 -> not-CBA,https://files-backend.assets.thrillshare.com/documents/asset/uploaded_file/3767/Pcusd/6eb2deec-23d0-4bd9-a3d8-eb2fdf894ee8/Original_Budget_Presentation_FY26.pdf?disposition=inline
674,Philip J Rock Center and School,IL,,administrators,no positive non-contract signal (thin/opaque),title=0 body=3 agenda=1 policy=0/0 kw=7 -> not-CBA,https://www.roe45.net/uploads/5/3/4/0/53402097/administrative_rules_combined_feb2021.pdf
689,Saratoga CCSD 60C,IL,,teachers,no positive non-contract signal (thin/opaque),title=0 body=2 agenda=1 policy=0/0 kw=4 -> not-CBA,https://www.iml.org/cms/files/pages/Journal-of-Local-Government-publication-request.pdf
692,Shelbyville CUSD 4,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=0 agenda=0 policy=0/2 kw=4 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/180/District/4127677/5-190_Teacher_Qualifications.docx.pdf
702,Troy CCSD 30C,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=1 policy=1/7 kw=7 -> not-CBA,https://s3.amazonaws.com/media.guidebook.com/upload/14186/extra/Thurs_11-00am_Trans_IFBAC-Part_1.pdf
705,Western Springs SD 101,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=1 agenda=1 policy=1/6 kw=2 -> not-CBA,https://cdnsm5-ss14.sharpschool.com/UserFiles/Servers/Server_976073/File/Departments/Superintendent/FOIA/2021-22/may2022/may004-ABCSchoolBusCompany-FOIA.pdf
741,McLean/Dewitt Reg Voc System,IL,,teachers,no positive non-contract signal (thin/opaque),title=1 body=2 agenda=0 policy=0/2 kw=6 -> not-CBA,https://core-docs.s3.us-east-1.amazonaws.com/documents/asset/uploaded_file/3734/BPS/3714286/RVS_ASA_Website_version__1_.pdf
765,CUSD 300,IL,,food_service,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=4 -> not-CBA,https://drive.google.com/uc?export=download&id=1KZbjBaOdAGQZsx7gDlW7wqSZka4jSQAu
766,CUSD 300,IL,,transportation,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=1 -> not-CBA,https://drive.google.com/uc?export=download&id=1mGZ2YCpFr74YfKuMVLGoO6sqx0YS5Nuk
774,Hamilton Co CUSD 10,IL,,support_staff,no positive non-contract signal (thin/opaque),title=0 body=1 agenda=0 policy=0/0 kw=4 -> not-CBA,https://drive.google.com/uc?export=download&id=1Zb8wG-3GsncMyHtK8tSCq1RR1D24Wv-9
782,Huntley Comm Sch Dist 158,IL,,custodial_maintenance,no positive non-contract signal (thin/opaque),title=0 body=0 agenda=0 policy=0/0 kw=7 -> not-CBA,https://www.huntley158.org/fs/resource-manager/view/c1fc225a-cb6a-429a-90b9-4fbaad7bebf1
